iter	Passed	Remaining
900	18577	2041
901	18594	2020
902	18611	1999
903	18627	1978
904	18646	1957
905	18664	1936
906	18682	1915
907	18697	1894
908	18712	1873
909	18730	1852
910	18745	1831
911	18760	1810
912	18778	1789
913	18793	1768
914	18813	1747
915	18831	1726
916	18848	1706
917	18867	1685
918	18885	1664
919	18905	1643
920	18927	1623
921	18948	1603
922	18969	1582
923	18989	1561
924	19010	1541
925	19031	1520
926	19051	1500
927	19071	1479
928	19091	1459
929	19112	1438
930	19132	1417
931	19151	1397
932	19175	1377
933	19193	1356
934	19211	1335
935	19231	1314
936	19248	1294
937	19266	1273
938	19282	1252
939	19310	1232
940	19330	1211
941	19346	1191
942	19360	1170
943	19378	1149
944	19394	1128
945	19411	1108
946	19426	1087
947	19440	1066
948	19456	1045
949	19470	1024
950	19489	1004
951	19504	983
952	19520	962
953	19538	942
954	19555	921
955	19571	900
956	19589	880
957	19606	859
958	19624	838
959	19640	818
960	19660	797
961	19680	777
962	19698	756
963	19715	736
964	19733	715
965	19753	695
966	19772	674
967	19789	654
968	19813	633
969	19832	613
970	19850	592
971	19866	572
972	19883	551
973	19899	531
974	19915	510
975	19932	490
976	19949	469
977	19981	449
978	20000	429
979	20018	408
980	20036	388
981	20055	367
982	20074	347
983	20093	326
984	20109	306
985	20126	285
986	20148	265
987	20164	244
988	20183	224
989	20199	204
990	20219	183
991	20236	163
992	20254	142
993	20273	122
994	20291	101
995	20312	81
996	20338	61
997	20356	40
998	20373	20
999	20391	0
